Comment,Designator,Footprint,LCSC
"470n","C203","","C13967"
"100n","C204,C301,C303,C304","","C14663"
"10u","C207","","C15850"
"100u","C302","",""
"1N5819WS","D201,D202","","C191023"
"SM4007","D203","","C64898"
"MountingHole_Pad","H101,H102,H103,H104","",""
"23mm x 40mm x 16mm","HS201","",""
"Conn_01x02","J201","",""
"Conn_01x07","J301","",""
"Conn_01x05","J302","",""
"Conn_01x06","J303","",""
"Conn_01x07_Socket","J399","",""
"10k","R201","","C25804"
"47","R301,R302,R303","","C23182"
"TestPoint","TP201,TP202","",""
"L7805","U201","",""
"ESP32-DevKitC","U301","",""
