Ref,Val,Package,PosX,PosY,Rot,Side
"C201","470n","C_Disc_D5.0mm_W2.5mm_P5.00mm",139.184088,-104.991196,90.000000,top
"C202","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",136.500000,-92.250000,0.000000,top
"C301","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",171.500000,-77.000000,-90.000000,top
"C302","100u","CP_Radial_D8.0mm_P5.00mm",165.250000,-77.597349,-90.000000,top
"C303","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",186.600000,-116.000000,-90.000000,top
"C304","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",162.600000,-117.400000,-90.000000,top
"D201","!N5819","D_DO-41_SOD81_P10.16mm_Horizontal",135.950000,-108.280000,90.000000,top
"D202","!N5819","D_DO-41_SOD81_P10.16mm_Horizontal",157.480000,-92.250000,180.000000,top
"HS201","23mm x 40mm x 16mm","Heatsink_TO220_23mmX40mm",169.150000,-99.990000,-90.000000,top
"J301","Conn_01x07","Molex_PicoBlade_53048-0710_1x07_P1.25mm_Horizontal",182.750000,-81.700000,180.000000,top
"J302","Conn_01x05","Molex_PicoBlade_53048-0510_1x05_P1.25mm_Horizontal",167.125000,-119.300000,0.000000,top
"J303","Conn_01x06","Molex_PicoBlade_53048-0610_1x06_P1.25mm_Horizontal",176.500000,-119.300000,0.000000,top
"TP201","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",159.000000,-120.000000,0.000000,top
"TP202","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",141.350000,-109.250000,0.000000,top
"U201","L7805","TO-220-3_Horizontal_TabUp",142.240000,-102.535000,90.000000,top
